MasterID DateMean
I0457 4500
I0456 4500
I0453 4239
I0455 4737
I0263 4500
I1553 4500
I0825 4346
I0260 4500
I0261 4500
I0823 4500
I0258 4500
I0262 4500
I0257 4439
I0826 4522
I0458 4270
I0171 4118
I0059 4179
I1542 4225
I1536 4225
I1544 4225
I1538 4225
I1539 4420
I1534 4225
I0106 4297
I1540 4225
I1541 4225
I1532 4225
I0049 4295
I0974 1500
I0975 1220
I0211 8450
I0061 8450
I0550 4469
I0041 8505
I0039 3530
I0040 5845
I0797 7125
I0795 7071
I0176 7002
I0045 1575
I0963 6950
I0802 5163
I0800 5164
I0551 5163
I0409 7210
I0411 7107
I0405 5700
I0174 7558
I0979 1125
I0977 990
I0976 900
I0978 865
I0115 3815
I0117 4092
I0804 4010
I0803 3977
I0164 3906
I0114 4002
I0971 1250
I0969 685
I0968 865
I0972 765
I0964 540
I0965 555
I0967 765
I0966 765
I1060 3825
I1062 3825
I1065 3825
I1022 3825
I1088 3825
I1084 3825
I1082 3825
I1055 3825
I1018 3825
I1017 3787
I1019 3825
I1086 3825
I1090 3825
I1024 3825
I1063 3825
I1058 3769
I1029 3830
I1020 3841
I1028 3704
I1064 3739
I1089 3825
I1054 3765
I1053 3785
I1027 3833
I1056 3750
I1057 3814
I0022 7125
I0026 7125
I0013 7722
I0011 7564
I0015 7710
I0012 7598
I0014 7686
I0017 7624
I1748 7180
I0309 7650
I1357 925
I1484 815
I1743 495
I1744 605
I1400 605
I0238 8450
I1479 550
I1396 590
I1358 735
I1485 1060
I1742 1125
I1356 600
I0447 6700
I0449 6700
I1388 4198
I1382 4195
I1381 4250
I1391 4179
I1389 4361
I1390 4331
I0644 5950
I1180 5950
I1177 5950
I1155 5950
I1181 5950
I1172 5950
I1187 5950
I1171 5950
I1164 5950
I1184 5950
I1179 5950
I1182 5950
I1170 5950
I1168 5950
I1152 5950
I1178 5950
I1123 315
I1124 230
I1128 405
I1129 395
I1125 575
I1127 435
I1118 315
I0721 2070
I0712 1065
I0719 505
I1508 7591
I1500 7058
I1100 8300
I1102 8300
I1099 8300
I1103 8300
I1101 8300
I1097 8282
I0744 8270
I1096 8300
I1098 8282
I0708 8101
I0745 8243
I0746 7928
I0707 8096
I0709 8085
I0725 7950
I0736 8300
I1634 6156
I1632 6076
I1631 6099
I1635 4476
I1633 4465
I1658 5162
I1656 3397
I0633 7424
I0634 6560
I1131 6482
I1499 7077
I1409 6047
I1407 5875
I1502 4026
I1290 9806
I1497 5019
I1495 6367
I1498 7094
I1705 4029
I1706 4345
I1679 8800
I1507 7661
I1504 2858
I1506 7146
I1496 7040
I0676 7792
I1505 7057
I1736 8110
I1734 8100
I1738 7348
I1732 7218
I1709 10050
I1727 10050
I1710 9565
I1707 9569
I1704 9159
I1730 4356
I1699 8700
I1670 6690
I1662 6677
I1674 5831
I1665 5819
I1671 7686
I1193 6832
I1190 6675
I1196 7058
I1197 6804
I1198 6872
I1202 2850
MA1 24320
AfontovaGora2 16767
Inuk 3885
LateDorset-XIV-H_126 800
MARC1491 1550
MARC481 1550
XIV_C_748 600
Kostenki14 38052
I1502 4026
I1504 2858
I1497 5019
I1503 2849
I1507 7661
I1508 7591
I1506 7146
I1498 7094
I1499 7077
I1505 7057
I1500 7058
I1495 6367
Botocudo15.SG 309
Bot17 281
StoraForvar11 7365
Ajvide52 4700
Ajvide53 4700
Ajvide58 4700
Ajvide59 4700
Ajvide70 4700
Gokhem2 4928
Gokhem4 4924
Gokhem5 5084
Gokhem7 4755
Ire8 4575
Iceman 5199
I0585 7811
I0061 8450
RISE1 4663
RISE21 3301
RISE42 4021
RISE47 3380
RISE61 4569
RISE71 4040
RISE94 4487
RISE97 3895
RISE98 4082
RISE109 3821
RISE139 3970
RISE145 4015
RISE150 3744
RISE154 3786
RISE174 1405
RISE175 3233
RISE179 3843
RISE207 3344
RISE210 3312
RISE240 4705
RISE247 3607
RISE254 3948
RISE276 2612
RISE349 3893
RISE371 3982
RISE373 3751
RISE374 3643
RISE386 4147
RISE391 3924
RISE392 3943
RISE394 3803
RISE395 3815
RISE396 3009
RISE397 2908
RISE407 2935
RISE408 3050
RISE412 3018
RISE413 3764
RISE416 3477
RISE423 3251
RISE431 4125
RISE434 4703
RISE435 4627
RISE436 4671
RISE446 4486
RISE471 3543
RISE479 3700
RISE480 3550
RISE483 3700
RISE484 3700
RISE486 3902
RISE487 5207
RISE489 4702
I3423 2248
RISE493 3423
I3425 3293
RISE495 3100
RISE496 3285
RISE497 3100
RISE499 3100
RISE500 3550
RISE502 3360
RISE503 3547
RISE504 1126
RISE505 3628
I10565 4726
RISE510 4531
RISE511 4757
RISE512 3328
RISE523 3411
RISE524 3000
RISE525 3000
RISE546 4850
RISE547 4713
RISE548 4850
RISE550 4916
RISE552 4382
RISE553 2819
RISE554 2878
RISE555 4598
I4124 4278
I4132 4200
I4143 4267
I4144 4411
I4134 4200
I4145 4089
I4136 4250
I5026 1200
I4137 1229
I4139 4150
I4130 4250
RISE595 2950
I13170 2550
RISE598 2653
RISE600 2451
RISE601 2451
RISE602 2451
I0237 860
I0867 8700
I1165 5950
I1206 6954
I1271 4550
I1303 4550
I1549 4225
I0407 5700
I1560 5350
I0025 7125
I0247 2229
I0423 3475
I0443 4850
I0726 7950
I0861 12700
I1160 5950
I1166 5950
I0103 4472
I0172 5155
I0408 5686
I0412 7177
I0038 8625
I0042 700
I0044 615
I0054 7074
I0104 4358
I0116 3978
I0118 4325
I0406 5700
I0410 7106
I0413 7143
kennewick 8752
I1496 7040
Villabruna 14021
Kostenki12 32650
Vestonice16 29800
Kostenki14 38052
Pavlov1 30350
Muierii2 33646
Vestonice13 30800
Vestonice15 30800
Vestonice43 29800
Ostuni2 29116
Ostuni1 27614
Continenza 10875
Vestonice14 30800
ElMiron 18775
AfontovaGora3 18036
I1577 30950
I0308 7435
I1893 6895
I1904 7010
I1931 3343
I1593 5527
I1563 5448
I1565 5674
I5950 4470
CB13 7345
ATP3 5397
ATP7 5122
ATP9 3628
ATP17 4849
ATP20 4138
I1876 7541
I1882 7050
I1883 7146
I1885 7228
I1917 4955
I1926 5649
I1977 3475
I1981 4891
I2062 3170
I2069 5061
I2071 4940
I2105 4850
I2110 5697
I2111 5622
I2158 12000
I2163 3639
I2165 4910
I2351 6050
I2352 6550
I2353 6200
I2354 6200
I2355 7050
I2356 6200
I2357 7050
I2358 6700
I2359 6700
I2364 4220
I2368 5025
I2369 5186
I2370 5122
I2371 5169
I2374 7700
I2375 7050
I2376 7050
I2377 7001
I2378 7050
I2379 6984
I2380 7350
I2382 7350
I2383 7050
I2387 6700
I2394 6231
I2395 6200
I0056 7059
I0100 6944
I1072 12700
Bichon 13698
KK1 9678
SATP 13282
UCT386 1910
UCT473 1183
KhoesanLeipzigHunter 2245
kum4 6550
kum6 5615
bally 5131
rath1 3897
rath2 3819
rath3 3580
I0017 7624
3DT16 1750
3DT26 1750
6DT18 1750
6DT21 1750
6DT22 1750
6DT23 1750
6DT3 1750
M1489 2035
I17268 1200
I3752 2603
Ze6b 2700
I0595 434
I0461 4241
I2230 8670
I2232 8360
I2233 1915
I2236 650
I2237 1335
I2238 1550
I2241 925
I2242 685
I2243 925
I2244 925
I2250 700
I2251 700
I2252 1025
I2253 1025
I2261 4105
I2262 1550
I2263 1095
I2264 700
I2268 4150
I2537 645
I2539 990
I2540 1000
I2543 945
I2544 675
I2545 470
I2549 540
I2550 935
I2551 825
I2445 4048
I2452 4052
I2453 4122
I2454 4042
I2455 3948
I2373 7700
I1877 7567
I2483 30850
I3345 124
I3354 7237
I3358 769
I3405 193
I3406 1016
I3451 2816
I3769 3150
I3788 3536
I3860 3603
I3861 3695
I3864 3562
I3356 5605
I3352 1166
I3355 6821
I3342 1099
I3350 131
I3767 3684
I3499 4718
I3403 128
I3404 129
I2014 6946
I2020 7125
I2022 7125
I2980 5173
I2981 3711
I2988 5397
I3136 5397
I3137 5350
I3138 4998
I3141 4850
I3151 5675
I3255 3994
I3270 4850
I3271 4850
I3272 4959
I3313 2722
I3322 2500
I3324 2223
I3343 1109
I3344 1107
I3346 1129
I3388 4650
I3390 3600
I3395 3600
I3401 150
I3407 1070
I3432 4924
I3433 7800
I3485 4050
I3486 3575
I3487 3603
I3488 3575
I3490 3450
I3491 3450
I3493 3301
I3498 7681
I3528 4364
I3529 4300
I3574 1450
I3575 1450
I3577 1450
I3578 1450
I3579 1450
I3581 1450
I3599 4175
I3600 4175
I3601 4175
I3602 4175
I3604 4200
I3607 4200
I3642 2994
I3775 1300
I3776 1300
I3777 1300
I3778 1300
I3808 400
I3810 400
I3866 1300
I3874 4065
I3875 3985
I3879 7550
I3951 4711
I3772 2911
I3269 4850
I2977 4843
I2978 5140
I3133 5446
I3256 4063
I2979 5104
I3134 5461
I3135 5517
I3132 3927
I3389 3600
I3392 3600
I3394 3600
I3396 3600
I3576 1468
I3949 4569
I3947 7834
I3948 7863
I3950 4707
I3315 2809
I3770 3968
I3876 2928
I3391 3600
I3393 3600
I3494 3781
I3351 1118
I3402 1118
I3068 5533
I2365 4299
I2403 4667
I3323 2226
I3348 126
I3349 1101
I3535 7068
I3536 7050
I3537 7366
I3582 1450
I3583 1450
I3585 1195
I3587 4175
I3588 4175
I3589 4175
I3590 4186
I3594 4175
I3611 1715
I3612 1800
I3714 7100
I3715 7526
I3717 7242
I3741 3088
I3743 3985
I3753 2977
I3756 3860
I3759 2222
I3763 3445
I3954 4690
I3965 3650
I3966 3650
I3976 3035
I3977 3015
I3980 1387
I3983 1550
I4054 1650
I4067 3770
I4068 3985
I4069 3966
I4070 3703
I4071 3717
I4073 3992
I4075 3950
I4076 3763
I4085 5450
I4086 5450
I4087 5450
I4088 6191
I4089 5636
I4109 3516
I4110 5394
I4111 6593
I4112 6950
I4114 7350
I4153 3050
I4156 3400
I4159 3400
I4161 3900
I4167 6635
I4168 6588
I4175 4800
I4178 4300
I4181 7050
I4183 6743
I4184 6754
I4185 6873
I4186 7050
I4187 7050
I4188 7050
I4189 6050
I4196 7050
I4199 7050
I4247 4302
I4248 4200
I4249 4186
I4250 4220
I4251 4219
I4252 4155
I4253 4266
I4255 3050
I4257 3423
I4258 3504
I4259 5021
I4262 3743
I4263 3658
I4264 3551
I4265 3522
I4267 3042
I4285 3685
I4286 3768
I4288 3750
I4289 3790
I0577 2750
I1594 5140
I1752 595
I1753 5095
I1754 825
I1763 10081
I1767 4045
I1770 3950
I1775 3563
I1784 4060
I1819 10658
I1821 3490
I1828 3484
I1829 4879
I1836 3527
I1838 5126
I1840 3475
I1843 4904
I1851 3463
I1852 3512
I1853 3484
I1856 3540
I1887 7150
I1889 6943
I1890 6875
I1891 6913
I1894 7150
I1896 7190
I1899 6550
I1900 6686
I1901 6550
I1903 6550
I1906 6550
I1908 6050
I1909 6086
I1934 3200
I1955 389
I1958 6606
I1960 8116
I1972 6703
I1975 4927
I2464 3615
I2509 6350
I2510 4794
I2513 4564
I2514 4347
I2519 6237
I2520 5153
I2532 7614
I2533 7371
I2534 7670
I2557 1395
I2558 1320
I2560 950
I2563 650
I2565 4237
I2566 4078
I2567 4018
I2568 4113
I2569 3978
I2573 3361
I2574 3277
I2575 4323
I2596 4086
I2598 3998
I2600 3970
I2601 3808
I2602 3762
I2605 5397
I2609 3848
I2610 3783
I2612 4293
I2618 3993
I2629 4800
I2630 4471
I2631 4957
I2633 5639
I2635 5523
I2637 5375
I2639 3430
I2650 5380
I2651 5160
I2653 3224
I2654 3287
I2655 3311
I2659 5637
I2660 5394
I2691 5613
I2741 4245
I2743 7050
I2744 7050
I2745 7050
I2746 6700
I2752 5175
I2753 5085
I2754 5140
I2755 5175
I2763 5172
I2783 6010
I2785 5175
I2787 4254
I2788 5685
I2789 5650
I2796 5571
I2859 2810
I2860 2824
I2861 2843
I2923 4707
I2924 4715
I2925 4715
I2932 4433
I2933 4877
I2934 5138
I2935 5115
I2954 2316
I2959 822
I3005 5657
I3033 5533
I3039 5525
I3040 5525
I3041 5440
I3065 6290
I3085 5149
I3130 2844
I3447 4577
I1765 4156
I2258 600
I2656 3081
I3025 9257
I3592 4260
I3593 4207
I3596 4175
I3597 4175
I3712 7377
I3713 6942
I3716 7347
Tianyuan 39565
Lapa14 9510
Lapa01 9880
Lapa22 9650
Lapa15 9605
Lapa05 9650
NEO237 7620
NEO237 7620
I1819 10658
I1378 7300
I4626 7677
I4627 6071
I4628 7033
I4629 4842
I4631 5997
I4632 8316
I3952 4667
I4074 4030
I4081 9361
I4295 3090
I4303 6624
I4312 3609
I4313 3421
I4314 3756
I4315 3461
I4318 3656
I4321 3522
